Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY MIDSML 400","5,916.75","5,918.45","5,878.65","5,897.70","0.00","-0.37","2,321.59","4,212.62","7,415.20","5,375.80",".00",".00"
"SYMPHONY","1,134.00","1,235.00","1,120.00","1,200.00","81.35","7.27","0.83","9.91","2,209.00","815.25","-44.12","11.74"
"CASTROLIND","152.45","160.00","151.00","159.50","7.55","4.97","23.50","36.70","213.95","134.95","-17.08","6.94"
"VAKRANGEE","41.15","41.65","39.20","41.65","1.95","4.91","157.68","64.73","515.00","22.35","-90.69","16.18"
"NAUKRI","1,604.95","1,653.65","1,587.65","1,652.40","56.85","3.56","2.98","48.13","1,719.95","1,126.15","19.33","5.45"
"ABFRL","206.50","219.95","203.45","214.35","7.10","3.43","11.02","23.29","219.95","132.10","23.30","6.83"
"SUPREMEIND","1,119.00","1,157.40","1,091.10","1,145.00","32.85","2.95","0.63","7.11","1,476.00","937.60","-15.33","14.60"
"PNB","80.35","82.90","79.10","82.85","2.20","2.73","229.90","186.56","197.00","58.45","-52.04","17.02"
"MINDTREE","838.00","857.85","830.00","853.30","21.30","2.56","23.09","194.80","1,183.80","615.00","37.36","-3.11"
"GLENMARK","651.90","670.05","648.25","667.50","16.20","2.49","6.79","44.93","711.90","493.50","6.46","1.35"
"APOLLOHOSP","1,289.80","1,328.45","1,282.00","1,321.70","29.00","2.24","8.87","116.73","1,329.85","910.10","12.73","8.74"
"CUMMINSIND","840.90","862.00","834.80","862.00","18.60","2.21","6.98","59.42","946.80","613.20","-7.97","6.97"
"GET&D","310.00","318.00","307.25","316.70","5.70","1.83","0.21","0.67","444.00","218.80","-26.60","28.04"
"PAGEIND","23,191.00","23,899.00","22,960.45","23,770.00","414.00","1.77","0.47","109.25","36,370.00","18,001.00","3.36","-2.76"
"DIVISLAB","1,504.90","1,538.85","1,504.25","1,530.00","24.85","1.65","9.66","147.11","1,578.00","978.35","38.90","0.07"
"AJANTPHARM","1,160.10","1,178.20","1,154.35","1,176.05","16.30","1.41","1.83","21.45","1,595.00","895.85","-22.20","7.29"
"AUBANK","653.80","667.85","642.55","660.00","7.85","1.20","8.73","57.65","748.40","500.50","-6.98","7.27"
"APLLTD","586.10","607.10","586.00","597.00","6.70","1.14","0.42","2.53","664.00","414.40","5.58","-3.38"
"TORNTPOWER","257.05","263.20","255.20","260.30","2.90","1.13","16.31","42.20","307.35","211.50","-10.80","0.15"
"LTTS","1,647.00","1,654.45","1,622.00","1,651.00","17.80","1.09","0.28","4.64","1,855.00","976.00","56.51","5.02"
"BATAINDIA","1,148.50","1,166.40","1,147.45","1,166.25","12.45","1.08","4.40","51.10","1,169.90","653.10","55.56","7.89"
"AARTIIND","1,549.95","1,577.00","1,549.70","1,566.00","16.30","1.05","0.80","12.54","1,577.00","1,000.00","38.83","7.52"
"AMARAJABAT","760.05","765.35","753.05","763.05","7.60","1.01","3.91","29.61","908.45","683.05","-11.57","4.18"
"SJVN","25.30","25.70","25.30","25.60","0.25","0.99","9.46","2.41","37.95","24.05","-31.73","0.39"
"TRENT","352.10","359.00","349.70","359.00","3.45","0.97","0.37","1.33","392.45","282.00","2.82","5.62"
"SHRIRAMCIT","1,650.00","1,658.95","1,637.10","1,655.00","15.65","0.95","0.10","1.64","2,453.00","1,470.05","-22.63","7.84"
"VBL","819.75","822.85","812.00","816.00","7.70","0.95","1.28","10.51","845.05","589.90","20.36","11.21"
"BANKINDIA","102.70","105.15","100.70","104.15","0.90","0.87","110.68","114.17","183.25","73.20","-37.28","21.67"
"NLCINDIA","67.30","67.90","66.70","67.65","0.55","0.82","1.00","0.67","113.50","65.00","-38.47","-1.96"
"RAJESHEXPO","570.50","575.00","569.00","574.25","4.30","0.75","1.42","8.09","874.00","542.05","-29.82","0.77"
"SUNDRMFAST","513.10","520.15","512.70","516.60","3.60","0.70","0.85","4.40","689.00","479.80","-9.61","-2.88"
"TIFIN","459.55","474.00","456.45","464.00","3.00","0.65","0.10","0.48","749.00","456.00","-33.77","-10.35"
"CHOLAFIN","1,182.00","1,194.75","1,152.00","1,189.50","7.35","0.62","2.59","30.44","1,760.05","1,038.00","-9.12","-4.04"
"HATSUN","680.00","685.00","678.65","683.95","4.20","0.62","0.03","0.18","884.05","565.00","-20.52","10.02"
"GODREJPROP","731.00","750.00","722.45","733.50","4.40","0.60","2.12","15.74","920.00","460.40","-13.15","11.09"
