Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"UNIONBANK","93.20","95.45","91.05","94.20","0.55","0.59","103.68","96.60","151.80","61.25","-32.13","22.26"
"GSPL","172.70","174.15","168.55","172.40","1.00","0.58","1.28","2.18","224.30","156.45","-21.73","-3.04"
"LTI","1,731.05","1,757.00","1,711.65","1,741.00","9.80","0.57","1.06","18.41","1,987.00","1,075.05","55.71","7.23"
"SANOFI","6,232.90","6,289.90","6,192.05","6,265.00","32.15","0.52","0.01","0.75","6,774.95","4,650.00","33.82","0.07"
"ADANITRANS","222.40","229.90","217.10","222.50","1.10","0.50","3.07","6.87","256.30","115.70","1.95","2.84"
"MOTILALOFS","688.00","695.00","681.00","691.30","2.95","0.43","0.22","1.54","1,583.30","545.10","-55.83","11.77"
"RNAM","153.80","155.95","152.55","154.40","0.65","0.42","0.37","0.56","335.00","127.20","-48.05","-9.50"
"BLUEDART","3,299.20","3,299.20","3,215.45","3,266.00","13.35","0.41","0.01","0.37","4,824.00","2,620.00","-30.25","6.40"
"RAMCOCEM","632.00","634.00","612.65","630.80","2.45","0.39","3.76","23.39","879.10","546.90","-20.90","2.33"
"IBVENTURES","384.00","390.95","382.20","385.90","1.35","0.35","2.55","9.87","819.80","210.00","41.69","-2.98"
"SOLARINDS","1,038.00","1,058.00","1,026.00","1,056.00","3.55","0.34","0.05","0.49","1,300.00","941.00","-9.86","1.14"
"FRETAIL","437.05","447.70","432.00","441.60","1.40","0.32","3.78","16.64","637.80","423.00","-23.78","-15.70"
"TATAGLOBAL","211.75","214.25","209.65","212.55","0.65","0.31","10.36","21.97","328.75","195.00","-32.16","-0.19"
"SPARC","190.20","191.80","182.75","184.05","0.55","0.30","10.69","19.88","532.00","179.00","-63.89","-13.27"
"THOMASCOOK","232.00","235.25","231.00","233.55","0.55","0.24","0.81","1.88","303.00","193.30","-9.30","-0.15"
"IGL","268.55","273.10","266.45","271.05","0.30","0.11","9.25","24.95","329.50","215.20","-15.89","8.20"
"EDELWEISS","177.30","178.75","174.30","177.60","0.15","0.08","24.47","43.48","342.00","128.50","-37.30","0.23"
"GUJGASLTD","669.95","674.00","665.20","669.95","0.30","0.04","0.23","1.57","955.00","593.60","-23.34","5.29"
"INDIANB","253.25","258.00","250.40","253.65","0.05","0.02","8.83","22.44","406.00","210.40","-31.61","11.54"
"WABCOINDIA","6,490.00","6,490.00","6,350.70","6,381.45","-0.60","-0.01","0.01","0.86","8,537.00","5,990.00","-13.24","-7.47"
"UBL","1,370.15","1,389.20","1,369.10","1,376.90","-0.10","-0.01","3.80","52.45","1,466.95","908.35","16.87","11.35"
"ESCORTS","752.50","755.90","746.70","753.05","-0.50","-0.07","12.08","90.75","1,017.70","541.00","-7.39","14.67"
"RECLTD","124.00","125.45","123.05","124.45","-0.10","-0.08","59.78","74.47","164.15","89.00","-23.34","22.01"
"IDFCBANK","47.00","47.30","46.25","46.65","-0.05","-0.11","113.33","53.05","70.40","32.70","-31.95","24.07"
"RBLBANK","571.55","578.90","569.10","575.00","-0.75","-0.13","5.46","31.32","651.95","438.20","7.76","0.11"
"TORNTPHARM","1,891.05","1,894.00","1,872.20","1,882.05","-3.65","-0.19","2.09","39.49","1,894.00","1,221.20","36.20","6.79"
"VOLTAS","541.25","545.40","538.15","541.00","-1.20","-0.22","5.62","30.52","664.70","472.25","-13.56","-4.93"
"PIIND","840.00","845.85","828.75","840.05","-1.90","-0.23","1.42","11.89","1,016.00","675.60","-15.58","-1.11"
"BAJAJHLDNG","3,026.05","3,112.00","2,999.00","3,000.00","-7.35","-0.24","0.26","7.87","3,316.05","2,451.20","5.74","0.79"
"GILLETTE","6,518.00","6,518.00","6,475.00","6,483.30","-15.70","-0.24","0.03","1.86","7,099.00","6,140.00","-3.51","-0.23"
"HAL","767.85","777.85","767.85","773.50","-2.30","-0.30","0.08","0.62","1,184.95","740.00","-","-"
"RELCAPITAL","215.80","216.80","213.40","215.45","-0.65","-0.30","26.33","56.64","606.50","195.25","-63.70","1.13"
"BERGEPAINT","325.25","328.50","323.15","324.10","-1.10","-0.34","6.77","22.04","349.90","232.30","21.09","1.61"
"FINCABLES","451.00","452.70","446.05","448.00","-1.55","-0.34","0.39","1.77","757.90","442.80","-38.22","-0.68"
"CROMPTON","228.15","230.00","227.00","227.50","-0.85","-0.37","1.32","3.00","281.00","190.00","-16.56","2.04"
"CANBK","278.25","281.45","275.15","277.20","-1.05","-0.38","36.31","101.09","384.90","204.75","-22.03","7.40"
"BALKRISIND","886.05","890.45","876.15","883.00","-3.65","-0.41","1.85","16.28","1,453.55","854.00","-23.74","-5.56"
"VARROC","721.00","729.25","721.00","727.00","-3.05","-0.42","0.02","0.18","1,178.70","636.30","-","-"
"KANSAINER","451.45","451.45","437.10","446.50","-2.15","-0.48","1.58","6.98","569.00","343.00","-20.45","-2.36"
"AIAENG","1,661.30","1,692.00","1,645.60","1,651.25","-8.05","-0.49","0.17","2.91","1,880.00","1,320.55","2.16","-0.41"
"HONAUT","21,751.10","21,810.50","21,409.80","21,750.00","-123.20","-0.56","0.01","1.36","24,242.00","14,751.00","18.92","-4.27"
"INDHOTEL","140.90","141.70","138.50","139.70","-0.85","-0.60","7.50","10.50","160.95","109.30","-2.68","-7.54"
"TATACHEM","696.90","697.00","691.55","693.55","-4.20","-0.60","2.42","16.84","787.50","622.00","-10.05","0.81"
"ISEC","279.50","284.00","270.50","274.45","-1.85","-0.67","2.02","5.65","463.00","225.55","-","-"
"ENGINERSIN","123.30","124.40","121.05","122.50","-0.85","-0.69","8.13","9.93","198.70","100.15","-36.79","8.36"
"SYNGENE","538.20","543.55","538.00","539.10","-3.85","-0.71","0.30","1.63","700.00","500.10","-7.88","1.12"
"QUESS","724.00","755.00","715.00","718.00","-5.30","-0.73","1.68","12.40","1,303.15","579.10","-31.94","4.35"
"ENDURANCE","1,195.85","1,205.95","1,183.30","1,200.00","-9.00","-0.74","0.65","7.86","1,578.80","1,062.00","-10.89","3.49"
"GODREJAGRO","498.00","498.00","494.00","494.45","-3.70","-0.74","0.24","1.19","738.00","476.30","-20.00","0.27"
"PFC","107.50","107.90","106.30","106.70","-0.80","-0.74","38.33","40.97","129.25","67.50","-16.54","25.38"
"NATCOPHARM","694.90","694.90","680.20","684.50","-5.15","-0.75","1.03","7.07","1,046.95","636.00","-33.02","-3.58"
"WHIRLPOOL","1,482.00","1,483.00","1,455.00","1,470.50","-11.20","-0.76","0.22","3.25","1,954.70","1,251.70","-5.99","9.29"
"RELINFRA","306.10","310.35","305.00","305.10","-2.60","-0.84","28.24","86.85","574.60","275.10","-45.90","3.02"
"DHFL","221.85","224.25","218.50","220.50","-1.95","-0.88","47.25","104.54","691.50","176.10","-64.27","3.11"
"CUB","190.80","192.95","188.10","189.05","-1.70","-0.89","14.50","27.68","207.00","147.55","8.06","6.21"
"GSKCONS","7,459.60","7,518.95","7,413.00","7,414.00","-72.30","-0.97","0.06","4.38","7,948.00","5,725.00","15.55","-3.49"
"VGUARD","206.00","207.90","203.75","204.60","-2.05","-0.99","4.44","9.12","254.90","159.40","-13.38","-7.02"
"JUBILANT","729.00","731.00","717.00","722.00","-7.35","-1.01","0.89","6.42","1,039.00","586.35","-10.80","-3.84"
"SUNDARMFIN","1,483.70","1,483.70","1,457.95","1,469.00","-14.95","-1.01","0.05","0.68","2,100.05","1,337.50","-24.34","1.29"
"SKFINDIA","1,940.00","1,940.00","1,906.15","1,920.00","-19.75","-1.02","0.08","1.58","1,942.90","1,600.50","4.26","1.04"
"IDBI","63.15","63.30","62.10","62.70","-0.65","-1.03","19.44","12.18","91.50","47.00","1.21","2.45"
"EIHOTEL","183.05","184.30","180.10","182.40","-1.90","-1.03","0.48","0.87","231.60","137.55","-1.62","-9.84"
"TATAPOWER","75.00","75.00","73.70","74.20","-0.80","-1.07","37.03","27.47","101.15","59.80","-25.46","-6.19"
"STRTECH","293.95","294.05","288.60","289.80","-3.15","-1.08","4.92","14.28","415.00","255.40","-19.14","-0.34"
"APOLLOTYRE","225.50","225.50","222.00","223.50","-2.45","-1.08","10.67","23.82","307.25","192.05","-19.91","-6.03"
"DBL","393.00","393.00","385.00","389.40","-4.30","-1.09","0.88","3.44","1,247.50","365.00","-60.72","-14.10"
"SRF","2,050.10","2,054.25","2,001.50","2,023.15","-23.25","-1.14","2.53","51.12","2,446.60","1,530.05","4.44","-6.22"
"PHOENIXLTD","560.00","560.20","552.05","553.55","-6.45","-1.15","1.14","6.37","732.00","489.00","-8.75","-11.08"
"HUDCO","43.25","43.40","42.75","42.95","-0.50","-1.15","4.63","1.99","87.50","40.00","-50.26","1.30"
"MGL","888.00","896.35","882.10","883.00","-10.40","-1.16","0.87","7.76","1,114.40","756.00","-19.42","1.27"
"BHARATFORG","481.00","482.00","471.00","476.00","-5.65","-1.17","9.68","45.98","798.00","469.40","-34.57","-7.53"
"TV18BRDCST","37.80","37.90","37.15","37.50","-0.45","-1.19","14.77","5.54","70.80","31.90","-39.42","4.46"
"TVSMOTOR","539.60","540.50","531.50","533.95","-6.70","-1.24","5.87","31.46","770.00","478.70","-29.31","-6.42"
"EMAMILTD","435.70","447.80","421.00","427.60","-5.45","-1.26","5.01","22.07","671.50","385.20","-67.20","-1.53"
"THERMAX","1,154.00","1,154.00","1,131.50","1,135.00","-14.90","-1.30","0.05","0.55","1,358.20","873.05","-12.56","1.74"
"KRBL","324.00","327.90","319.00","321.90","-4.25","-1.30","1.69","5.44","651.95","278.00","-49.19","10.52"
"3MINDIA","20,954.65","20,954.65","20,504.15","20,550.00","-274.50","-1.32","0.00","0.88","26,662.00","17,551.00","13.59","-8.50"
"MUTHOOTFIN","534.95","538.50","528.00","530.70","-7.25","-1.35","6.14","32.69","545.35","356.00","17.65","11.03"
"HEG","3,649.90","3,659.95","3,600.00","3,608.00","-50.60","-1.38","0.47","17.18","4,955.00","2,211.55","28.39","-9.03"
"CRISIL","1,659.95","1,659.95","1,625.00","1,625.00","-24.30","-1.47","0.03","0.54","2,023.00","1,335.00","-15.84","6.64"
"COROMANDEL","466.70","470.35","449.00","454.80","-6.85","-1.48","4.99","23.09","580.00","339.10","-20.46","10.44"
"ADANIPOWER","50.25","50.35","49.40","49.50","-0.75","-1.49","53.23","26.46","58.35","15.15","7.38","-6.25"
"GLAXO","1,504.80","1,504.80","1,453.40","1,462.00","-22.05","-1.49","0.13","1.88","1,800.05","1,010.00","-41.06","5.32"
"PCJEWELLER","80.20","80.40","78.75","78.90","-1.20","-1.50","60.32","47.89","600.65","46.85","-85.39","18.56"
"GMRINFRA","16.60","16.60","16.35","16.45","-0.25","-1.50","56.55","9.30","25.05","14.55","-24.37","6.47"
"JSWENERGY","70.05","70.05","67.90","69.00","-1.05","-1.50","5.93","4.06","97.50","56.10","-27.60","0.66"
"BBTC","1,279.00","1,279.95","1,260.10","1,266.00","-19.40","-1.51","0.46","5.81","2,115.00","1,082.00","-26.80","-3.00"
"JUBLFOOD","1,235.00","1,236.00","1,210.50","1,218.90","-18.70","-1.51","8.96","109.60","1,578.00","901.60","-36.63","-1.14"
"MFSL","450.90","457.35","442.15","447.35","-7.40","-1.63","3.95","17.71","578.90","350.00","-22.19","4.16"
"AVANTIFEED","377.00","379.00","369.05","372.00","-6.40","-1.69","1.09","4.07","883.00","333.60","-85.54","6.56"
"FCONSUMER","44.00","44.00","43.15","43.20","-0.80","-1.82","13.81","6.00","75.25","35.00","-41.54","-6.59"
"MRPL","70.70","70.95","68.70","69.30","-1.30","-1.84","10.04","6.99","136.20","61.25","-48.15","-6.16"
"ALKEM","1,928.00","1,951.80","1,896.10","1,931.00","-36.30","-1.85","0.24","4.55","2,319.00","1,726.00","-15.58","1.80"
"NBCC","61.00","61.20","59.30","59.85","-1.15","-1.89","53.28","31.87","252.95","47.65","-75.92","14.99"
"GRAPHITE","720.00","721.30","705.90","706.60","-13.60","-1.89","4.35","31.10","1,127.00","595.55","-16.41","-19.90"
"OBEROIRLTY","451.85","452.00","438.40","443.75","-8.65","-1.91","1.49","6.61","610.00","351.35","-20.08","-4.99"
"CENTRALBK","36.45","36.45","35.75","35.75","-0.70","-1.92","11.64","4.19","87.90","27.45","-52.14","19.37"
"RPOWER","29.50","29.65","28.80","28.85","-0.60","-2.04","40.26","11.68","57.20","23.10","-48.30","4.34"
"MAHINDCIE","239.90","239.90","232.55","234.00","-5.05","-2.11","1.01","2.36","302.00","200.00","-7.05","-7.38"
"JMFINANCIL","90.90","90.90","87.75","88.55","-2.00","-2.21","5.51","4.87","171.75","64.05","-46.78","3.33"
"PNBHOUSING","897.60","898.00","881.75","882.10","-20.90","-2.31","0.86","7.69","1,440.00","696.15","-33.43","-8.55"
"KIOCL","148.05","150.00","145.05","145.10","-3.55","-2.39","0.12","0.17","386.00","128.00","-61.32","-1.66"
"NATIONALUM","63.30","63.30","61.00","61.40","-1.80","-2.85","29.35","18.13","90.20","56.55","-27.25","-4.81"
"PFIZER","2,756.00","2,756.00","2,678.20","2,682.05","-79.10","-2.86","0.18","4.74","3,847.70","2,001.00","33.20","-6.37"
"JINDALSTEL","148.50","148.90","143.50","144.00","-4.80","-3.23","107.75","156.17","294.30","140.75","-46.14","-7.84"
"GRUH","242.50","243.40","232.50","234.40","-7.85","-3.24","30.14","70.99","382.00","228.15","-6.49","-20.77"
"M&MFIN","447.00","452.00","435.00","438.30","-14.75","-3.26","24.17","106.41","534.00","342.65","-8.87","0.00"
"HEXAWARE","326.00","326.55","314.35","314.50","-10.65","-3.28","11.36","36.26","557.70","294.30","-12.88","-4.71"
"EXIDEIND","259.45","259.80","248.10","251.20","-8.60","-3.31","16.67","41.97","304.70","192.40","12.24","-3.85"
"GODREJIND","537.50","537.55","521.45","521.80","-18.15","-3.36","3.35","17.64","657.60","434.50","-18.70","-4.32"
"MPHASIS","896.00","909.45","859.60","866.00","-33.15","-3.69","4.32","38.21","1,278.80","708.00","20.92","-10.31"
"MANAPPURAM","98.95","99.10","95.10","95.25","-3.85","-3.88","17.47","16.88","130.45","66.25","-22.15","6.66"
"PRESTIGE","217.25","217.25","207.65","208.05","-9.20","-4.23","1.04","2.20","356.80","163.00","-39.70","3.97"
"ASTRAL","1,165.00","1,169.95","1,118.20","1,121.05","-53.30","-4.54","0.53","5.98","1,210.00","732.50","32.61","5.11"
"FEDERALBNK","94.40","94.40","89.00","90.45","-4.95","-5.19","279.82","253.35","116.25","67.05","-20.66","2.73"
"DISHTV","40.15","40.15","37.30","37.55","-2.45","-6.13","60.41","23.21","84.90","32.20","-55.16","1.49"

