Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY NEXT 50","27,653.70","27,659.85","27,391.65","27,514.85","-192.70","-0.70","1,123.17","3,069.10","31,700.55","25,040.45","-13.19","0.27"
"DABUR","422.35","435.30","420.80","433.40","11.75","2.79","31.45","134.73","490.65","311.95","20.42","0.66"
"PIDILITIND","1,114.90","1,140.75","1,100.00","1,136.75","27.50","2.48","10.02","112.59","1,211.45","845.05","26.37","-1.34"
"CADILAHC","350.25","355.90","349.60","354.80","6.50","1.87","16.72","59.07","451.30","332.25","-20.25","0.54"
"INDIGO","1,058.00","1,086.00","1,052.55","1,076.00","18.55","1.75","5.68","60.93","1,520.00","691.00","-12.92","5.08"
"AMBUJACEM","213.00","215.30","211.55","215.05","2.20","1.03","12.31","26.33","280.00","188.35","-20.86","-0.42"
"CONCOR","678.55","686.35","665.15","685.00","6.45","0.95","17.31","116.24","750.00","542.00","-51.97","4.99"
"MCDOWELL-N","589.00","599.50","586.60","596.50","4.90","0.83","9.25","55.07","779.34","438.20","-84.42","-6.92"
"BRITANNIA","3,102.00","3,124.00","3,063.00","3,114.00","17.15","0.55","1.55","47.97","3,467.18","2,200.00","-34.05","1.88"
"BIOCON","645.00","647.75","638.25","646.00","3.50","0.54","18.57","119.72","718.00","525.25","18.26","1.14"
"MOTHERSUMI","161.20","162.30","158.50","162.00","0.80","0.50","15.07","24.16","260.03","140.50","-58.00","3.48"
"AUROPHARMA","769.95","778.90","765.60","771.85","2.00","0.26","17.89","138.27","830.45","527.00","14.42","4.30"
"PETRONET","216.40","218.35","214.30","217.25","0.55","0.25","16.39","35.41","259.45","202.05","-12.91","2.33"
"MARICO","382.00","383.60","375.50","382.30","0.85","0.22","10.27","39.02","396.60","282.95","20.87","2.58"
"NIACL","180.00","181.00","178.55","180.00","0.35","0.19","0.29","0.52","382.43","171.20","-71.49","-9.27"
"HAVELLS","686.00","690.55","683.45","689.00","0.95","0.14","5.16","35.42","728.75","450.00","25.55","-2.24"
"PGHH","9,998.50","10,010.00","9,899.95","10,000.00","1.50","0.02","0.03","2.71","11,337.00","8,800.00","7.61","3.37"
