Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
NIFTY 50,"10,807.00","10,808.00","10,727.55","10,737.05",-57.9,-0.54,355.48,"1,782.67","11,760.20","9,951.90",0.81,-0.01
INFY,707,710.2,698.55,700.6,17.1,2.5,69.39,487.93,754.9,527.63,-34.88,3.26
YESBANK,185,187.2,182.3,187,2.75,1.49,68.97,127.48,404,146.75,-45.5,0.21
INFRATEL,276.7,280.9,274.35,279.9,2.7,0.97,6.79,18.92,378.5,242.25,-23.89,11.65
SUNPHARMA,447,447.8,444.35,446.3,1.9,0.43,6.1,27.2,679.3,390.6,-24.09,3.44
GRASIM,815,818,810.4,817.25,3,0.37,0.64,5.24,"1,261.10",756,-34.3,0.7
DRREDDY,"2,585.35","2,603.00","2,580.05","2,597.25",9.1,0.35,0.3,7.89,"2,749.95","1,887.00",7.09,0.42
HINDPETRO,235.25,236.3,233.3,234.1,0.6,0.26,4.41,10.34,435,163,-44.39,6.75
IOC,133,133.15,131,131.4,0.2,0.15,19.7,25.97,213.7,105.25,-66.21,-3.45
HINDUNILVR,"1,771.00","1,775.00","1,764.10","1,771.80",2.4,0.14,0.91,16.13,"1,869.50","1,281.10",28.52,-3.66
HCLTECH,941,944,936,939,-1.05,-0.11,1.61,15.12,"1,125.05",880.05,2.41,-3.32
ZEEL,450.95,451.75,448.05,450,-1.05,-0.23,2.19,9.86,619,410.6,-22.41,-6.6
BAJFINANCE,"2,515.95","2,519.45","2,496.00","2,507.05",-7.15,-0.28,0.76,18.95,"2,994.00","1,511.20",40.82,0.53
ULTRACEMCO,"3,770.20","3,786.50","3,742.45","3,759.35",-10.85,-0.29,0.19,7.05,"4,599.90","3,260.45",-14.68,-4.4
UPL,784,784,777.05,781,-2.45,-0.31,1.8,14.02,828.5,537.25,-0.66,-1.15
ASIANPAINT,"1,404.00","1,410.60","1,398.45","1,399.00",-4.65,-0.33,1.29,18.17,"1,490.60","1,090.10",17.67,5.12
KOTAKBANK,"1,217.00","1,224.45","1,215.05","1,219.00",-4.2,-0.34,0.89,10.8,"1,417.00","1,001.05",19.79,-1.47
EICHERMOT,"20,628.00","20,629.20","20,409.00","20,438.00",-69.6,-0.34,0.13,27.12,"32,236.70","19,755.00",-28.15,-13.84
MARUTI,"7,330.00","7,330.00","7,257.00","7,290.00",-30.5,-0.42,0.58,41.9,"9,929.00","6,500.00",-21.95,-2.43
HDFCBANK,"2,109.90","2,109.90","2,098.45","2,102.30",-9.6,-0.45,1.9,39.93,"2,220.00","1,828.50",12.27,0.82
HINDALCO,205.5,205.6,203.4,204.75,-1.1,-0.53,9.83,20.09,274.65,192.35,-23.53,-7.48
ONGC,145,145.2,143.15,143.8,-0.85,-0.59,4.4,6.33,212.85,134.75,-27.34,1.48
ADANIPORTS,377,377,374,374.8,-2.35,-0.62,1.1,4.12,452.35,294.1,-11.92,0.09
POWERGRID,194.05,194.35,193,193.1,-1.25,-0.64,2.35,4.54,216,174.1,-2.4,5.78
CIPLA,510.2,511.4,506.5,506.95,-3.25,-0.64,1.6,8.12,678.45,503,-17.21,-4.58
HEROMOTOCO,"2,901.00","2,910.30","2,856.05","2,880.00",-19.25,-0.66,0.35,10.19,"3,825.00","2,648.00",-22.28,-11.62
SBIN,301,302,299.55,300.7,-2.05,-0.68,11.83,35.55,332.75,232.35,-0.5,5.42
COALINDIA,232.4,232.5,230.35,230.65,-1.6,-0.69,3.19,7.38,316.95,228.35,-25.14,-6.62
BPCL,338.9,339.85,333.5,334.9,-2.4,-0.71,3.68,12.39,495,238.55,-31.99,1.67
RELIANCE,"1,095.00","1,095.00","1,086.40","1,090.25",-7.8,-0.71,5.65,61.53,"1,329.00",871,16.26,-1.82
TITAN,958,958.65,951.15,952,-7.3,-0.76,0.94,8.93,999.7,732.3,4.97,2.37
M&M,725,725.35,720.5,721.9,-6,-0.82,1.82,13.16,993,694,-5.84,-3.85
ICICIBANK,378.7,378.7,374.4,375.4,-3.15,-0.83,18.87,70.85,383.55,256.5,21.29,7.27
ITC,294.5,294.5,291.25,292.85,-2.5,-0.85,11.07,32.37,322.95,252.5,8.54,6.09
IBULHSGFIN,812.9,818.9,806.55,808.85,-7.3,-0.89,3.15,25.55,"1,440.00",639.05,-34.17,10.15
TATAMOTORS,180.3,180.3,177.45,178.55,-1.75,-0.97,20.11,35.89,441.45,154.65,-58.93,8.81
BAJAJ-AUTO,"2,718.00","2,747.20","2,687.00","2,693.30",-27.65,-1.02,0.2,5.33,"3,468.35","2,420.00",-15.66,-5.45
BAJAJFINSV,"6,388.90","6,388.90","6,304.55","6,306.10",-65.55,-1.03,0.14,8.64,"7,200.00","4,500.00",22.53,5.29
VEDL,196,196,193,194.55,-2.05,-1.04,10.28,19.93,355.7,186.65,-41.73,-2.38
TATASTEEL,474.2,474.4,466.8,469.1,-5.1,-1.08,9.47,44.51,748.11,466.8,-39.15,-9.83
TECHM,703,703.1,691,691.35,-7.85,-1.12,1.82,12.63,780.8,542.35,25.31,-1.98
NTPC,148,148.35,146.1,146.3,-1.7,-1.15,3.46,5.07,180,134.05,-15.68,3.98
WIPRO,330.05,331.1,324.35,324.85,-3.85,-1.17,2.7,8.82,343.95,253.5,1.17,-1.58
TCS,"1,850.00","1,851.00","1,815.00","1,821.00",-21.55,-1.17,6.36,116.19,"3,674.80","1,711.15",-34.74,-9.71
INDUSINDBK,"1,509.00","1,509.00","1,489.15","1,495.60",-19.55,-1.29,5.87,87.83,"2,038.00","1,333.15",-12.04,-5.47
HDFC,"1,983.00","1,983.15","1,961.90","1,965.60",-25.8,-1.3,2.46,48.37,"2,052.95","1,644.50",12.88,1.31
JSWSTEEL,288.45,288.45,284,285,-3.8,-1.32,5.23,14.95,427.55,265.6,0.87,-5.77
GAIL,338,338.3,333.2,334.1,-4.5,-1.33,3.38,11.31,399.4,295.25,-32.57,-3
BHARTIARTL,334.1,334.8,330.3,330.6,-4.5,-1.34,3.4,11.26,517.35,276.85,-35.77,8.2
LT,"1,367.20","1,367.20","1,347.85","1,348.70",-20.9,-1.53,2.95,39.92,"1,470.00","1,182.50",1.9,-3.68
AXISBANK,663,663,654.3,655.7,-10.8,-1.62,9.27,60.9,677.95,481.25,17.35,5.77
