Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"JETAIRWAYS","254.50","300.85","248.55","293.40","39.75","15.67","355.14","973.87","848.60","162.80","-65.02","13.52"
"STAR","480.40","522.35","480.40","519.40","38.70","8.05","74.52","379.30","833.90","333.30","-37.20","12.19"
"YESBANK","185.00","198.00","182.30","195.00","10.75","5.83","980.76","1,892.37","404.00","146.75","-43.17","4.50"
"CASTROLIND","152.45","160.00","151.00","159.50","7.55","4.97","23.49","36.68","213.95","134.95","-17.08","6.94"
"DABUR","422.35","435.30","420.80","433.40","11.75","2.79","31.45","134.73","490.65","311.95","20.42","0.66"
"PNB","80.35","82.90","79.10","82.85","2.20","2.73","229.87","186.54","197.00","58.45","-52.04","17.02"
"INFY","707.00","710.20","695.95","701.30","17.80","2.60","193.10","1,354.15","754.90","527.63","-34.81","3.36"
"MINDTREE","838.00","857.85","830.00","853.30","21.30","2.56","23.09","194.79","1,183.80","615.00","37.36","-3.11"
"GLENMARK","651.90","670.05","648.25","667.50","16.20","2.49","6.79","44.93","711.90","493.50","6.46","1.35"
"PIDILITIND","1,114.90","1,140.75","1,100.00","1,136.75","27.50","2.48","10.02","112.58","1,211.45","845.05","26.37","-1.34"
"NIITTECH","1,168.00","1,191.95","1,147.20","1,190.10","28.05","2.41","9.35","109.29","1,425.20","682.85","65.83","7.12"
"KTKBANK","116.40","121.00","115.15","118.75","2.65","2.28","71.69","85.01","169.40","92.65","-26.99","10.77"
"APOLLOHOSP","1,289.80","1,328.45","1,282.00","1,321.70","29.00","2.24","8.87","116.72","1,329.85","910.10","12.73","8.74"
"CUMMINSIND","840.90","862.00","834.80","862.00","18.60","2.21","6.98","59.42","946.80","613.20","-7.97","6.97"
"IDFC","42.40","42.90","41.45","42.85","0.85","2.02","25.76","10.87","67.80","34.25","-34.63","10.58"
"CADILAHC","350.25","355.90","349.60","354.80","6.50","1.87","16.72","59.05","451.30","332.25","-20.25","0.54"
"PAGEIND","23,191.00","23,899.00","22,960.45","23,770.00","414.00","1.77","0.47","109.24","36,370.00","18,001.00","3.36","-2.76"
"INDIGO","1,058.00","1,086.00","1,052.55","1,076.00","18.55","1.75","5.68","60.93","1,520.00","691.00","-12.92","5.08"
"DIVISLAB","1,504.90","1,538.85","1,504.25","1,530.00","24.85","1.65","9.66","147.09","1,578.00","978.35","38.90","0.07"
"SUNPHARMA","447.00","452.00","443.75","451.50","7.10","1.60","57.83","258.96","679.30","390.60","-23.21","4.65"
"BAJFINANCE","2,515.95","2,552.90","2,484.15","2,551.00","36.80","1.46","10.21","257.28","2,994.00","1,511.20","43.29","2.29"
"MARUTI","7,330.00","7,433.35","7,257.00","7,425.00","104.50","1.43","4.24","311.00","9,929.00","6,500.00","-20.50","-0.63"
"AJANTPHARM","1,160.10","1,178.20","1,154.35","1,176.05","16.30","1.41","1.83","21.41","1,595.00","895.85","-22.20","7.29"
"GODFRYPHLP","901.05","924.75","886.10","919.00","10.75","1.18","1.51","13.73","1,080.00","640.25","-14.02","1.14"
"TATAMOTORS","180.30","198.30","177.45","182.40","2.10","1.16","189.33","342.16","441.45","154.65","-58.04","11.15"
"TORNTPOWER","257.05","263.20","255.20","260.30","2.90","1.13","16.31","42.20","307.35","211.50","-10.80","0.15"
"BATAINDIA","1,148.50","1,166.40","1,147.45","1,166.25","12.45","1.08","4.40","51.10","1,169.90","653.10","55.56","7.89"
"INFRATEL","276.70","282.80","274.35","280.15","2.95","1.06","62.23","174.92","378.50","242.25","-23.82","11.75"
"AMBUJACEM","213.00","215.30","211.55","215.05","2.20","1.03","12.31","26.32","280.00","188.35","-20.86","-0.42"
"AMARAJABAT","760.05","765.35","753.05","763.05","7.60","1.01","3.91","29.61","908.45","683.05","-11.57","4.18"
"CONCOR","678.55","686.35","665.15","685.00","6.45","0.95","17.31","116.24","750.00","542.00","-51.97","4.99"
"BANKINDIA","102.70","105.15","100.70","104.15","0.90","0.87","110.67","114.16","183.25","73.20","-37.28","21.67"
"TATAELXSI","964.45","974.40","956.00","970.00","8.05","0.84","4.80","46.25","1,490.90","922.00","-6.56","-5.70"
"MCDOWELL-N","589.00","599.50","586.60","596.50","4.90","0.83","9.25","55.05","779.34","438.20","-84.42","-6.92"
"CHENNPETRO","263.00","263.50","258.00","263.30","2.10","0.80","2.94","7.65","464.40","220.65","-40.16","-1.00"
"IOC","133.00","133.15","131.00","132.15","0.95","0.72","89.75","118.29","213.70","105.25","-66.02","-2.90"
"DCBBANK","178.00","180.65","177.50","180.00","1.25","0.70","12.12","21.76","204.60","139.85","-10.80","14.18"
"IFCI","14.55","14.85","14.30","14.65","0.10","0.69","28.77","4.19","34.60","11.50","-54.57","8.12"
"TATAMTRDVR","95.50","96.95","94.15","96.40","0.60","0.63","19.69","18.80","257.00","84.80","-62.06","7.71"
"CHOLAFIN","1,182.00","1,194.75","1,152.00","1,189.50","7.35","0.62","2.59","30.44","1,760.05","1,038.00","-9.12","-4.04"
"CIPLA","510.20","514.00","505.60","513.25","3.05","0.60","14.72","74.87","678.45","503.00","-16.18","-3.40"
"UNIONBANK","93.20","95.45","91.05","94.20","0.55","0.59","103.68","96.60","151.80","61.25","-32.13","22.26"
"KSCL","558.00","565.05","555.05","560.00","3.20","0.57","1.57","8.77","660.70","431.20","6.31","0.68"
"BRITANNIA","3,102.00","3,124.00","3,063.00","3,114.00","17.15","0.55","1.55","47.97","3,467.18","2,200.00","-34.05","1.88"
"BIOCON","645.00","647.75","638.25","646.00","3.50","0.54","18.57","119.72","718.00","525.25","18.26","1.14"
"MCX","755.00","764.00","745.85","758.10","3.85","0.51","3.67","27.72","948.90","650.00","-18.92","4.65"
"MOTHERSUMI","161.20","162.30","158.50","162.00","0.80","0.50","15.07","24.15","260.03","140.50","-58.00","3.48"
"ORIENTBANK","97.40","100.70","96.15","98.00","0.40","0.41","41.92","41.27","136.35","58.00","-19.93","10.36"
"CANFINHOME","271.50","277.70","269.45","274.05","1.10","0.40","5.45","14.91","557.50","216.50","-43.43","7.70"
"RAMCOCEM","632.00","634.00","612.65","630.80","2.45","0.39","3.76","23.39","879.10","546.90","-20.90","2.33"
"TATAGLOBAL","211.75","214.25","209.65","212.55","0.65","0.31","10.36","21.97","328.75","195.00","-32.16","-0.19"
"AUROPHARMA","769.95","778.90","765.60","771.85","2.00","0.26","17.89","138.27","830.45","527.00","14.42","4.30"
"PETRONET","216.40","218.35","214.30","217.25","0.55","0.25","16.39","35.40","259.45","202.05","-12.91","2.33"
"MARICO","382.00","383.60","375.50","382.30","0.85","0.22","10.27","39.02","396.60","282.95","20.87","2.58"
