Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"ULTRACEMCO","3,770.20","3,796.95","3,737.95","3,776.40","6.20","0.16","1.99","74.83","4,599.90","3,260.45","-14.29","-3.97"
"HINDALCO","205.50","206.60","203.40","206.15","0.30","0.15","52.04","106.94","274.65","192.35","-23.01","-6.85"
"HAVELLS","686.00","690.55","683.45","689.00","0.95","0.14","5.16","35.42","728.75","450.00","25.55","-2.24"
"RAYMOND","813.00","821.00","806.05","817.00","0.90","0.11","2.27","18.51","1,153.00","593.00","-26.65","0.43"
"IGL","268.55","273.10","266.45","271.05","0.30","0.11","9.25","24.95","329.50","215.20","-15.89","8.20"
"RELIANCE","1,095.00","1,100.50","1,086.40","1,099.00","0.95","0.09","41.08","449.20","1,329.00","871.00","17.20","-1.04"
"INDIANB","253.25","258.00","250.40","253.65","0.05","0.02","8.83","22.43","406.00","210.40","-31.61","11.54"
"ACC","1,461.90","1,465.20","1,447.05","1,458.80","0.15","0.01","3.27","47.64","1,857.45","1,255.65","-19.05","-1.78"
"UBL","1,370.15","1,389.20","1,369.10","1,376.90","-0.10","-0.01","3.80","52.45","1,466.95","908.35","16.87","11.35"
"ESCORTS","752.50","755.90","746.70","753.05","-0.50","-0.07","12.07","90.72","1,017.70","541.00","-7.39","14.67"
"RECLTD","124.00","125.45","123.05","124.45","-0.10","-0.08","59.78","74.47","164.15","89.00","-23.34","22.01"
"ZEEL","450.95","451.75","442.30","450.65","-0.40","-0.09","23.42","104.62","619.00","410.60","-22.30","-6.47"
"GRASIM","815.00","818.00","807.00","813.45","-0.80","-0.10","7.34","59.73","1,261.10","756.00","-34.61","0.23"
"HCLTECH","941.00","944.00","928.00","939.00","-1.05","-0.11","9.78","91.55","1,125.05","880.05","2.41","-3.32"
"IDFCBANK","47.00","47.30","46.25","46.65","-0.05","-0.11","113.32","53.04","70.40","32.70","-31.95","24.07"
"BAJAJFINSV","6,388.90","6,388.90","6,265.00","6,364.00","-7.65","-0.12","1.52","96.30","7,200.00","4,500.00","23.66","6.26"
"RBLBANK","571.55","578.90","569.10","575.00","-0.75","-0.13","5.46","31.32","651.95","438.20","7.76","0.11"
"SYNDIBANK","39.40","39.85","38.75","39.50","-0.05","-0.13","31.93","12.56","83.50","29.50","-48.97","16.86"
"TITAN","958.00","961.35","949.00","958.00","-1.30","-0.14","8.64","82.57","999.70","732.30","5.63","3.02"
"NMDC","92.65","92.85","91.55","92.05","-0.15","-0.16","41.35","38.17","158.45","88.60","-40.75","-1.97"
"KAJARIACER","526.00","535.00","521.60","525.00","-0.85","-0.16","10.78","56.81","756.80","310.00","-29.25","14.67"
"PVR","1,640.10","1,644.65","1,626.15","1,642.00","-2.95","-0.18","2.36","38.57","1,648.00","1,062.80","12.41","6.32"
"TORNTPHARM","1,891.05","1,894.00","1,872.20","1,882.05","-3.65","-0.19","2.09","39.48","1,894.00","1,221.20","36.20","6.79"
"HINDUNILVR","1,771.00","1,780.75","1,760.10","1,766.00","-3.40","-0.19","10.18","179.84","1,869.50","1,281.10","28.10","-3.97"
"HINDPETRO","235.25","236.30","232.60","233.00","-0.50","-0.21","26.32","61.58","435.00","163.00","-44.65","6.25"
"VOLTAS","541.25","545.40","538.15","541.00","-1.20","-0.22","5.62","30.52","664.70","472.25","-13.56","-4.93"
"JUSTDIAL","476.90","483.05","471.00","475.50","-1.15","-0.24","10.37","49.28","647.00","358.00","-18.53","-0.87"
"GODREJCP","783.95","783.95","772.40","777.00","-1.95","-0.25","4.46","34.63","978.67","643.75","-21.12","0.15"
"DLF","182.30","182.30","178.20","181.70","-0.45","-0.25","37.41","67.50","273.85","142.00","-32.83","1.37"
"M&M","725.00","726.40","714.30","726.00","-1.90","-0.26","17.13","123.54","993.00","694.00","-5.30","-3.30"
"RELCAPITAL","215.80","216.80","213.40","215.45","-0.65","-0.30","26.32","56.63","606.50","195.25","-63.70","1.13"
"CESC","682.55","693.00","676.40","680.00","-2.05","-0.30","12.54","85.76","1,190.00","642.00","-42.24","-1.47"
"HDFCBANK","2,109.90","2,109.90","2,098.45","2,104.90","-7.00","-0.33","12.13","255.13","2,220.00","1,828.50","12.41","0.94"
"BERGEPAINT","325.25","328.50","323.15","324.10","-1.10","-0.34","6.77","22.04","349.90","232.30","21.09","1.61"
"ITC","294.50","294.80","290.00","294.30","-1.05","-0.36","64.00","187.27","322.95","252.50","9.08","6.61"
"BANKBARODA","120.95","123.10","120.10","120.70","-0.45","-0.37","136.53","165.65","179.70","91.00","-26.09","6.44"
"CANBK","278.25","281.45","275.15","277.20","-1.05","-0.38","36.31","101.09","384.90","204.75","-22.03","7.40"
"EICHERMOT","20,628.00","20,629.20","20,222.00","20,429.00","-78.60","-0.38","0.70","143.18","32,236.70","19,755.00","-28.18","-13.88"
"NHPC","25.50","25.60","25.30","25.40","-0.10","-0.39","22.19","5.64","32.75","22.10","-21.24","-2.68"
"BALKRISIND","886.05","890.45","876.15","883.00","-3.65","-0.41","1.85","16.28","1,453.55","854.00","-23.74","-5.56"
"NESTLEIND","11,300.00","11,385.70","11,189.95","11,225.00","-48.00","-0.43","0.52","58.27","11,705.00","6,887.25","42.55","3.51"
"CEATLTD","1,261.55","1,268.00","1,215.20","1,261.00","-5.85","-0.46","2.09","26.30","2,002.00","985.85","-35.98","-3.78"
"OFSS","3,648.00","3,648.00","3,588.10","3,620.00","-17.35","-0.48","0.08","2.98","4,658.40","3,321.35","-12.72","-0.51"
"COALINDIA","232.40","232.50","229.05","231.05","-1.20","-0.52","22.72","52.35","316.95","228.35","-25.01","-6.46"
"DRREDDY","2,585.35","2,605.00","2,555.00","2,574.25","-13.90","-0.54","3.94","101.79","2,749.95","1,887.00","6.14","-0.47"
"SIEMENS","1,052.10","1,065.45","1,039.80","1,052.00","-5.85","-0.55","3.11","32.80","1,336.00","850.25","-18.74","9.31"
"TATACHEM","696.90","697.00","691.55","693.55","-4.20","-0.60","2.42","16.84","787.50","622.00","-10.05","0.81"
"SOUTHBANK","15.70","15.70","15.40","15.60","-0.10","-0.64","85.28","13.24","33.60","12.45","-52.29","-3.11"
"ALBK","44.50","44.80","43.80","44.25","-0.30","-0.67","31.13","13.78","74.00","33.15","-39.18","-4.43"
"ENGINERSIN","123.30","124.40","121.05","122.50","-0.85","-0.69","8.13","9.93","198.70","100.15","-36.79","8.36"
"LUPIN","837.80","840.95","828.50","833.60","-5.75","-0.69","9.22","77.03","986.10","723.65","-10.29","1.45"
"BEL","91.90","92.55","89.70","91.40","-0.65","-0.71","53.11","48.38","181.00","74.25","-48.94","13.97"
"MRF","66,600.00","66,996.95","65,955.90","66,455.05","-482.20","-0.72","0.05","33.50","81,425.95","59,601.00","-8.10","-2.48"
"ONGC","145.00","145.20","142.50","143.60","-1.05","-0.73","60.27","86.39","212.85","134.75","-27.44","1.34"
"SBIN","301.00","303.60","299.55","300.50","-2.25","-0.74","103.72","312.34","332.75","232.35","-0.56","5.35"
"PFC","107.50","107.90","106.30","106.70","-0.80","-0.74","38.33","40.97","129.25","67.50","-16.54","25.38"
"TATASTEEL","474.20","474.40","466.80","470.55","-3.65","-0.77","58.86","276.74","748.11","466.80","-38.96","-9.55"
"ASHOKLEY","94.30","94.30","92.70","93.55","-0.75","-0.80","128.45","119.87","167.50","92.45","-26.37","-11.03"
"BPCL","338.90","339.85","331.55","334.50","-2.80","-0.83","37.57","125.64","495.00","238.55","-32.07","1.55"
"OIL","173.80","174.40","172.30","173.10","-1.45","-0.83","3.17","5.49","259.00","168.55","-54.82","-0.92"
"RELINFRA","306.10","310.35","305.00","305.10","-2.60","-0.84","28.24","86.85","574.60","275.10","-45.90","3.02"
"DHFL","221.85","224.25","218.50","220.50","-1.95","-0.88","47.24","104.52","691.50","176.10","-64.27","3.11"
"ADANIPORTS","377.00","377.00","372.40","373.70","-3.45","-0.91","9.27","34.72","452.35","294.10","-12.17","-0.20"
"HINDZINC","273.00","274.30","270.40","271.00","-2.50","-0.91","1.41","3.85","340.20","259.40","-15.23","-1.42"
"SUZLON","5.35","5.35","5.25","5.30","-0.05","-0.93","130.49","6.90","16.80","4.95","-67.78","0.00"
"CENTURYTEX","889.90","889.90","875.20","885.15","-8.55","-0.96","3.32","29.28","1,459.45","718.05","-38.37","-2.69"
"BAJAJ-AUTO","2,718.00","2,747.20","2,676.45","2,694.15","-26.80","-0.98","1.71","46.00","3,468.35","2,420.00","-15.63","-5.42"
"VGUARD","206.00","207.90","203.75","204.60","-2.05","-0.99","4.43","9.11","254.90","159.40","-13.38","-7.02"
"IDBI","63.15","63.30","62.10","62.70","-0.65","-1.03","19.44","12.18","91.50","47.00","1.21","2.45"
"WOCKPHARMA","515.00","518.80","508.10","509.70","-5.40","-1.05","6.70","34.35","979.00","437.45","-46.66","0.66"
"TATAPOWER","75.00","75.00","73.70","74.20","-0.80","-1.07","37.03","27.47","101.15","59.80","-25.46","-6.19"
"APOLLOTYRE","225.50","225.50","222.00","223.50","-2.45","-1.08","10.67","23.82","307.25","192.05","-19.91","-6.03"
"KOTAKBANK","1,217.00","1,224.45","1,206.40","1,210.00","-13.20","-1.08","13.63","165.50","1,417.00","1,001.05","18.90","-2.19"
"BHEL","68.75","68.75","67.50","67.80","-0.75","-1.09","47.33","32.16","107.95","61.70","-34.49","2.19"
"COLPAL","1,320.05","1,320.05","1,302.15","1,304.95","-14.50","-1.10","3.85","50.31","1,354.80","1,018.30","15.99","2.51"
"HDFC","1,983.00","1,983.15","1,949.60","1,969.25","-22.15","-1.11","21.68","425.49","2,052.95","1,644.50","13.09","1.50"
"SRF","2,050.10","2,054.25","2,001.50","2,023.15","-23.25","-1.14","2.53","51.12","2,446.60","1,530.05","4.44","-6.22"
"ASIANPAINT","1,404.00","1,410.60","1,385.45","1,387.70","-15.95","-1.14","13.61","189.61","1,490.60","1,090.10","16.72","4.27"
"HEROMOTOCO","2,901.00","2,910.30","2,856.05","2,865.50","-33.75","-1.16","2.68","76.86","3,825.00","2,648.00","-22.67","-12.06"
"MGL","888.00","896.35","882.10","883.00","-10.40","-1.16","0.87","7.75","1,114.40","756.00","-19.42","1.27"
"BHARATFORG","481.00","482.00","471.00","476.00","-5.65","-1.17","9.67","45.93","798.00","469.40","-34.57","-7.53"
"TATACOMM","515.10","517.80","508.35","510.65","-6.05","-1.17","2.08","10.68","686.10","435.70","-24.35","-4.04"
"POWERGRID","194.05","194.35","191.00","192.05","-2.30","-1.18","30.20","58.05","216.00","174.10","-2.93","5.20"
"TV18BRDCST","37.80","37.90","37.15","37.50","-0.45","-1.19","14.75","5.53","70.80","31.90","-39.42","4.46"
"AXISBANK","663.00","663.00","652.55","658.35","-8.15","-1.22","68.56","450.73","677.95","481.25","17.83","6.19"
"TVSMOTOR","539.60","540.50","531.50","533.95","-6.70","-1.24","5.87","31.46","770.00","478.70","-29.31","-6.42"
"GSFC","111.55","111.60","109.60","110.20","-1.45","-1.30","4.77","5.27","166.40","85.50","-30.52","0.82"
"MUTHOOTFIN","534.95","538.50","528.00","530.70","-7.25","-1.35","6.14","32.69","545.35","356.00","17.65","11.03"
"LICHSGFIN","482.50","484.30","475.20","477.55","-6.55","-1.35","8.89","42.60","583.80","387.60","-16.04","6.41"
"ICICIBANK","378.70","378.70","372.70","373.40","-5.15","-1.36","148.43","555.66","383.55","256.50","20.65","6.70"
"UJJIVAN","287.80","289.40","284.90","285.50","-4.20","-1.45","6.64","18.98","434.75","166.50","-31.27","25.63"
"TCS","1,850.00","1,851.00","1,810.00","1,815.45","-27.10","-1.47","36.15","656.96","3,674.80","1,711.15","-34.94","-9.98"
"ADANIPOWER","50.25","50.35","49.40","49.50","-0.75","-1.49","53.18","26.44","58.35","15.15","7.38","-6.25"
"GMRINFRA","16.60","16.60","16.35","16.45","-0.25","-1.50","56.53","9.29","25.05","14.55","-24.37","6.47"
"PCJEWELLER","80.20","80.40","78.75","78.90","-1.20","-1.50","60.31","47.88","600.65","46.85","-85.39","18.56"
"JUBLFOOD","1,235.00","1,236.00","1,210.50","1,218.90","-18.70","-1.51","8.95","109.58","1,578.00","901.60","-36.63","-1.14"
"BHARTIARTL","334.10","334.80","328.15","330.00","-5.10","-1.52","33.12","109.53","517.35","276.85","-35.89","8.00"
"NTPC","148.00","148.35","145.20","145.70","-2.30","-1.55","41.76","60.90","180.00","134.05","-16.02","3.55"
"PEL","2,296.75","2,296.75","2,250.00","2,260.00","-36.85","-1.60","2.76","62.74","3,307.95","1,794.90","-20.98","5.27"
"INDIACEM","87.25","87.65","85.20","85.80","-1.40","-1.61","39.79","34.17","205.95","79.95","-55.32","-7.44"
"MFSL","450.90","457.35","442.15","447.35","-7.40","-1.63","3.95","17.70","578.90","350.00","-22.19","4.16"
"JSWSTEEL","288.45","288.45","282.05","283.90","-4.90","-1.70","37.56","106.64","427.55","265.60","0.48","-6.13"
"SRTRANSFIN","1,190.80","1,191.05","1,144.75","1,169.10","-20.60","-1.73","5.53","64.97","1,668.75","902.30","-22.31","1.19"
"PTC","90.20","91.05","88.75","89.85","-1.60","-1.75","10.02","8.97","121.65","64.45","-25.53","4.90"
"VEDL","196.00","196.00","192.00","193.00","-3.60","-1.83","90.60","175.14","355.70","186.65","-42.20","-3.16"
"UPL","784.00","784.00","766.90","769.00","-14.45","-1.84","13.92","107.73","828.50","537.25","-2.19","-2.66"
"MRPL","70.70","70.95","68.70","69.30","-1.30","-1.84","10.04","6.99","136.20","61.25","-48.15","-6.16"
"ICICIPRULI","354.55","354.95","346.65","349.95","-6.60","-1.85","8.10","28.34","462.20","301.20","-13.94","11.59"
"NBCC","61.00","61.20","59.30","59.85","-1.15","-1.89","53.26","31.86","252.95","47.65","-75.92","14.99"
"BEML","890.00","890.00","872.30","874.20","-17.55","-1.97","14.79","129.88","1,596.00","521.25","-43.85","17.29"
"SUNTV","588.90","590.85","576.00","577.00","-11.90","-2.02","8.53","49.57","1,097.80","552.85","-44.71","1.80"
"CGPOWER","44.70","44.75","43.50","43.75","-0.90","-2.02","38.66","16.94","99.15","32.85","-54.94","11.32"
"RPOWER","29.50","29.65","28.80","28.85","-0.60","-2.04","40.26","11.67","57.20","23.10","-48.30","4.34"
"JPASSOCIAT","7.30","7.35","7.20","7.20","-0.15","-2.04","79.34","5.74","24.55","5.75","-69.36","1.41"
"INFIBEAM","43.65","43.75","41.85","42.65","-0.90","-2.07","48.99","20.96","242.70","27.50","-70.28","-8.67"
"INDUSINDBK","1,509.00","1,509.00","1,471.00","1,483.25","-31.90","-2.11","36.15","536.81","2,038.00","1,333.15","-12.77","-6.25"
"ADANIENT","151.00","151.15","147.00","148.20","-3.30","-2.18","26.24","38.91","236.65","100.85","-26.52","-5.06"
"BOSCHLTD","19,470.00","19,470.00","19,029.80","19,080.40","-437.40","-2.24","0.19","35.81","22,400.00","16,975.00","-4.38","-0.48"
"ARVIND","97.60","97.80","93.00","95.30","-2.25","-2.31","37.74","35.88","478.50","90.25","-79.82","-6.75"
"EQUITAS","120.60","120.85","116.55","118.10","-2.85","-2.36","14.71","17.31","173.65","77.85","-26.42","1.59"
"KPIT","211.00","212.00","205.20","205.75","-5.00","-2.37","10.20","21.12","314.50","186.45","-1.18","-4.57"
"RCOM","13.70","13.70","13.35","13.35","-0.35","-2.55","319.99","43.13","33.60","9.60","-59.30","-14.70"
"LT","1,367.20","1,367.20","1,331.00","1,334.50","-35.10","-2.56","30.81","412.26","1,470.00","1,182.50","0.83","-4.70"
"SHREECEM","16,080.00","16,080.00","15,401.35","15,499.00","-414.20","-2.60","0.43","66.89","19,848.90","13,100.00","-20.66","-6.74"
"BHARATFIN","961.40","961.40","937.00","939.95","-26.20","-2.71","5.76","54.37","1,234.80","823.75","-9.07","-5.61"
"SREINFRA","34.70","34.75","33.10","33.75","-0.95","-2.74","27.24","9.18","109.60","25.35","-68.79","6.80"
"TECHM","703.00","703.10","676.90","679.85","-19.35","-2.77","15.58","106.86","780.80","542.35","23.23","-3.62"
"NATIONALUM","63.30","63.30","61.00","61.40","-1.80","-2.85","29.35","18.12","90.20","56.55","-27.25","-4.81"
"IDEA","37.00","37.00","35.60","35.80","-1.10","-2.98","105.54","38.25","110.05","32.00","-66.59","3.32"
"REPCOHOME","434.00","434.00","420.25","420.35","-13.90","-3.20","6.65","28.26","708.95","293.90","-39.54","27.03"
"JINDALSTEL","148.50","148.90","143.50","144.00","-4.80","-3.23","107.73","156.15","294.30","140.75","-46.14","-7.84"
"IRB","157.20","157.30","152.20","152.20","-5.10","-3.24","9.85","15.17","286.20","117.40","-38.57","-1.04"
"M&MFIN","447.00","452.00","435.00","438.30","-14.75","-3.26","24.16","106.41","534.00","342.65","-8.87","0.00"
"SAIL","52.30","52.30","50.40","50.50","-1.70","-3.26","114.98","58.55","101.10","49.00","-48.73","-3.53"
"IBULHSGFIN","812.90","818.90","786.20","789.45","-26.70","-3.27","27.32","218.98","1,440.00","639.05","-35.75","7.51"
"HEXAWARE","326.00","326.55","314.35","314.50","-10.65","-3.28","11.36","36.26","557.70","294.30","-12.88","-4.71"
"EXIDEIND","259.45","259.80","248.10","251.20","-8.60","-3.31","16.66","41.95","304.70","192.40","12.24","-3.85"
"GODREJIND","537.50","537.55","521.45","521.80","-18.15","-3.36","3.35","17.64","657.60","434.50","-18.70","-4.32"
"NCC","91.60","92.00","88.40","88.95","-3.20","-3.47","89.59","80.24","140.00","63.25","-34.93","5.89"
"L&TFH","140.95","140.95","135.00","136.40","-5.10","-3.60","107.50","146.70","189.50","110.65","-24.93","-5.21"
"MANAPPURAM","98.95","99.10","95.10","95.25","-3.85","-3.88","17.47","16.87","130.45","66.25","-22.15","6.66"
"GAIL","338.00","338.30","322.15","325.20","-13.40","-3.96","79.68","260.12","399.40","295.25","-34.37","-5.59"
"JISLJALEQS","66.80","67.00","64.05","64.15","-2.75","-4.11","40.16","26.16","150.40","55.00","-53.98","-0.77"
"WIPRO","330.05","331.10","311.35","312.50","-16.20","-4.93","69.09","219.31","343.95","253.50","-2.68","-5.32"
"FEDERALBNK","94.40","94.40","89.00","90.45","-4.95","-5.19","279.75","253.28","116.25","67.05","-20.66","2.73"
"DISHTV","40.15","40.15","37.30","37.55","-2.45","-6.13","60.40","23.20","84.90","32.20","-55.16","1.49"

